Martial_Arts_Male_Walk	SFX\Character\FootStep\LandWalkMaleA.wav
Martial_Arts_Male_Run	SFX\Character\FootStep\LandRunMaleA.wav
Mage_Female_Walk	SFX\Character\FootStep\LandWalkFemaleA.wav
Mage_Female_Run	SFX\Character\FootStep\LandRunFemaleA.wav
Beast_Male_Walk	SFX\Character\FootStep\LandWalkBeastA.wav
Beast_Male_Run	SFX\Character\FootStep\LandRunBeastA.wav
White_Tiger_Walk		SFX\Character\FootStep\LandWalkTigerA.wav
White_Tiger_Run		SFX\Character\FootStep\LandRunTigerA.wav
Winged_Elf_Female_Walk	SFX\Character\FootStep\LandWalkFemaleA.wav
Winged_Elf_Female_Run	SFX\Character\FootStep\LandRunFemaleA.wav
On_Water		SFX\Character\FootStep\Swim.wav
Underwater		SFX\Character\FootStep\Float.wav
