\Ambience\		|	+Ambient_Sound_Effects
	3Dim\		|		3D_Sound_Effects
	Zone\		|		Single_Area_Sounds
\Character\		|	+Character_Sound_Effects
	01FighterM\	|		Male_Martial_Arts_Sounds
	02FighterF\	|		Female_Martial_Arts_Sounds
	03MageM\	|		Male_Mage_Sounds
	04MageF\	|		Female_Mage_Sounds
	06RangerM	|		Male_Ranger_Sounds
	07RangerF	|		Female_Ranger_Sounds
	08ElfM\		|		Male_Winged_Elf_Sounds
	09ElfF\		|		Female_Winged_Elf_Sounds
	10Barb\	|		Beast_Sounds
	11Fairy\	|		Female_Fairy_Sounds
	FootStep\	|		Movement_Sounds_(walk/run/swim/fly)
	NormalAction\	|		Normal_Action_Sounds
	NPC\		|		NPC_Sounds
\Creature\		|	+Creature_Sounds
	Monster\	|		Monster_Category_Sounds
	NormalAction\	|		Normal_Action_Sounds
	Skill\		|		Skill_Sounds
	SpecialDeath\	|		Special_Death_Sounds
\Effect\		|	+Effect_Sounds
	Player\		|		Player_Effect_Sounds
	Travel\		|		Vehicle_Effect_Sounds
\Event\			|	+Special_Event_Effect_Sounds_(currently_empty;_future_sounds_such_as_falling_boulders_or_tsunamis_go_here)
\Interface\		|	+Interface_Sounds
\Item\			|	+Item_Sounds
	DropSound\	|		Item_Drop_Sounds
	UseSound\	|		Item_Use_Sounds
	WeaponAttack\	|		Weapon_Attack_Sounds
	WeaponHit\	|		Weapon_Hit_Sounds
	EquipSound\	|		Equipment_Sounds
\Pet\			|	+Pet_Sounds
	Normal\		|		Scene_Pet_Sounds
	Player\		|		Player_Pet_Sounds
\Skill\			|	+Skill_Sounds
	01Fighter\	|		Martial_Arts_Skill_Sounds
	02Mage\		|		Mage_Skill_Sounds
	04Barb\		|		Beast_Skill_Sounds
	05Fairy\	|		Fairy_Skill_Sounds
	06Ranger\	|		Ranger_Skill_Sounds
	07Elf\		|		Winged_Elf_Skill_Sounds
	Summon\		|		Summoned_Creature_Action_Sounds
